username,comment,date,likes
@wilywascal2024,"""I'm really concerned that military has been brought in and the National Guard — I think that's a really radical step,"" Lia Cheek, 32, told Business Insider. ""Part of me feels like it's turning into a military state.""
""It's a sign of who our president is — he likes to control, he likes to bully, and he's using our military and our people and our tax dollars to bully us and control us, and that's not OK,"" she added. ""We need to keep protesting and using our voices.""",3 years ago,0
@winaykumar6988,"Criminals don't follow Police instructions and run.
What's the point of having Laws if these people don't follow them.
Salute to Police for dealing with these oddities.",3 years ago,1
@thesinzer,Thank you for teaching me what I saw.,3 years ago,0
@helenbuchanan1213,"There is an issue with deadly force being used unnecessarily in some cases.. The Tony timpa, Ethan saylor  cases illustrate it isn't necessarily racial. It seems to effect all shades. Usually people from economically disadvantaged backgrounds or with disabilities / vulnerabilities wrought through mental illness or addiction.",3 years ago,14
@solarpowerhome,"They leave out the part that he took a cops tazer, tazed him, then after fighting with the cops, while running away, fire the tazer at the other cop.

Do you know how you don't get shot in a wendy's parking lot when you're passed out drunk? Don't fight with the cops, then taze them.",3 years ago,18
@oo3813,He left out a big part of the use of deadly force. “If your life or another is in imminent danger or threat of serious bodily injury” an officer getting tased and  eating cement is very very bad for the . Use of deadly force was authorized . Tasers are LESS lethal and not NON Lethal devices.,3 years ago,0
@trese2658,I agree he should not have done any of that with the police But that does not equal to a death sentence. You can still live on after being tased but you probably won’t make it after being shot by a gun,3 years ago,0
@krblumentable,"He doesn't have a weapon until he fights and takes a weapon in which then he has a weapon. He didn't mention that. He also didn't mention that he gained the DUI test. Bottom line, don't be a crook.",3 years ago,0
@zev1500,"Yes, just carefully leave out the part where he took the taser from the police",3 years ago,0
@johnyoung9113,"The odds of bad stuff happening to you, increase when you resist arrest.",3 years ago,24
@harvesfesting,There needs to be a new law that states you can only use your weapon (gun) if you know-see and record them having it and can confirm. Yes the man was dead wrong for running but police are supposed to be trained to take back control of these situations without taking the easy way out and killing someone. That should not even be a resort in this situation.,3 years ago,0
@yusufbabangidasulaiman4422,"If the Cop really believes he is drunk, why don't they think he fought them under influence and let him run away since they got his ID, they have more than million ways of chatting him. He may even turn him self in when he is back to his senses. Is a person worth dying while trying to run away from you?",3 years ago,0
@a.i.8583,No way this cop gets convicted.,3 years ago,0
@decus9544,"Well atleast the guy in this case had actually committed a crime and had resisted arrest, so it's a step up from simply being murdered outright as so often appears to be the case.",3 years ago,0
@retay3621,Unbelievable....he was obviously intoxicated....he was obviously unarmed.....why the hen does he end up dead?  This needs to be reformed....these officers need to be trained properly on how to manage in a non violent way.  ENOUGH IS ENOUGH.,3 years ago,0
@hmongmagician737,Didnt that guy took the cop taser and shot it at him while running away?,3 years ago,273
@dionnode886,"To be safe and cooperatif with the police, Just don't resist and fight. Do what's officer asked.",3 years ago,0
@jasonolinger7585,seems like if he was a potential threat they wouldn't have given him the opportunity to drive his car to the side from the beginning smh,3 years ago,30
@carolmakgalemela6940,"He got scared, when they tried to handcuff him.",3 years ago,0
@j-dubb614,Drunken man makes terrible decisions that cost him his life. Two cops became judge jury and executioner. Should the guy have assaulted the police? No. Should that be a death sentence? Absolutely not.,3 years ago,0
